id,batch,module,severity,category,abi,file,symbol,title,recommendation
DATA-24,B1,DATASTRUCTURES,high,hidden-side-effect,source-compatible,src/openms/include/OpenMS/DATASTRUCTURES/DistanceMatrix.h,DistanceMatrix::setValue,"setValue only updates the cached minimum when neither index equals the current min coordinate, risking a stale minimum","Document precisely under which writes min_element_ stays valid and when callers must call updateMinElement(); or simplify the guard to compare the (i,j) pair against the min coordinate pair rather than each index independently. ABI: doc-only fix is non-breaking."
DATA-25,B1,DATASTRUCTURES,high,surprising-throw,source-compatible,src/openms/include/OpenMS/DATASTRUCTURES/DistanceMatrix.h,DistanceMatrix::operator==,Equality operator throws (in debug) instead of returning false for differently-sized matrices,"Return false when sizes differ before the loop: `if (dimensionsize_ != rhs.dimensionsize_) return false;`. ABI: additive/behavioral fix, source-compatible."
KERN-29,B1,KERNEL,high,misleading-name,source-compatible,src/openms/include/OpenMS/KERNEL/MassTrace.h,MassTrace::getIntensity,"getIntensity() returns a quantification value (FWHM area/median/height), not an intensity, and silently returns 0 if FWHM was never estimated",Rename to getQuantitatedIntensity()/computeQuantity() with a [[deprecated]] alias for getIntensity; document that AREA mode requires a prior estimateFWHM() call and that 'smoothed' is a no-op for MEDIAN. ABI: source-compatible if alias retained.
META-9,B2,METADATA,high,param-order-or-bool,breaking,src/openms/include/OpenMS/METADATA/SpectrumMetaDataLookup.h,SpectrumMetaDataLookup::addMissingSpectrumReferences,"Documented [in,out] 'proteins' is taken by value, so spectra_data updates are silently discarded","Change the parameter to std::vector<ProteinIdentification>& (true in/out), or if ABI must be preserved add an overload taking a reference and deprecate the by-value one. At minimum, fix the doc to stop claiming [in,out]. The current state is a silent bug at real call sites (IDFileConverter)."
META-12,B2,METADATA,high,silent-failure,source-compatible,src/openms/include/OpenMS/METADATA/SpectrumMetaDataLookup.h,SpectrumMetaDataLookup::getSpectrumMetaData,"Silently returns leaving 'meta' untouched when no reference format matches, unlike findByReference which throws ParseError",Throw Exception::ParseError on no-match (mirroring findByReference) or document the silent no-op and that callers must check meta for sentinel/NaN values. Behavioral fix; flag abi as source-compatible since it adds a throw.
CHEM-24,B2,CHEMISTRY,high,misleading-name,source-compatible,src/openms/include/OpenMS/CHEMISTRY/MASSDECOMPOSITION/IMS/IMSIsotopeDistribution.h,IMSIsotopeDistribution::size,size() caps the reported peak count at the global static SIZE rather than reporting the actual peak count,"ABI-safe: fix the doc comment (it currently claims the wrong inequality) and clearly state size() is clamped to the static SIZE truncation length, distinct from peaks_.size(). Consider adding a separate peakCount()/rawSize() accessor (additive) for the true count."
META-31,B2,METADATA,high,silent-failure,none,src/openms/source/METADATA/ExperimentalDesign.cpp,ExperimentalDesign::getSample,getSample dereferences find_if result without checking end() (UB / crash on missing combination),"Capture the iterator, compare to end(), and throw Exception::ElementNotFound (mirroring the rest of the class) when not found. Additive/behavioral fix; does not change the signature so ABI is preserved."
FORM-9,B3,FORMAT,high,silent-failure,source-compatible,src/openms/include/OpenMS/FORMAT/Base64.h,"Base64::decodeIntegersUncompressed_ (reached via decodeIntegers, zlib_compression=false)","Integer decode silently returns an empty/partial result for inputs shorter than 4 chars instead of signalling, and (unlike the float path) does not validate length % 4",Add the same `in.size() % 4 != 0` length check (and matching ConversionError) to decodeIntegersUncompressed_ so the integer and float decoders fail consistently. Source-compatible additive validation; only affects previously-silently-accepted malformed inputs.
FORM-12,B3,FORMAT,high,misleading-doc,none,src/openms/include/OpenMS/FORMAT/CsvFile.h,CsvFile (class doc) vs CsvFile::load / constructor,"CsvFile doc claims no comment support, but '#'-prefixed lines are silently dropped","Either honor the documentation by passing an empty comment_symbol, or update the documentation to state that '#'-prefixed lines are treated as comments and skipped. Prefer making the comment behavior an explicit, documented parameter. ABI-safe (constant/string change or additive param)."
FORM-22,B3,FORMAT,high,silent-failure,source-compatible,src/openms/include/OpenMS/FORMAT/IndexedMzMLFileLoader.h,IndexedMzMLFileLoader::load,load() returns bool success that is easy to ignore; failure produces no exception,"Keep the bool (ABI), but document the divergence from the other *File classes prominently and mark the return value [[nodiscard]] (source-compatible additive change) so callers cannot silently drop the failure indication."
